Name,Link,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chtmvm_t_81,60000000,136801374,18017152,1999-12-12 00:00:00,286801374,189,Color,DTS; Dolby Digital; SDDS,1.85 : 1
Die Hart Die Harter,https://www.imdb.com/title/tt32094375/?ref_=chtmvm_t_82,0,0,0,1900-01-01 00:00:00,0,0,,,
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=chtmvm_t_83,90000000,142502728,41082018,2019-07-28 00:00:00,377617681,161,Color,Dolby Digital; Dolby Atmos; Dolby Surround 7.1,2.39 : 1
Unsung Hero,https://www.imdb.com/title/tt23638614/?ref_=chtmvm_t_84,6000000,20335239,7731539,2024-04-28 00:00:00,21001578,0,,,
Unfrosted,https://www.imdb.com/title/tt14914430/?ref_=chtmvm_t_85,0,0,0,1900-01-01 00:00:00,0,97,Color,Dolby Digital,1.85 : 1
Beetlejuice,https://www.imdb.com/title/tt0094721/?ref_=chtmvm_t_86,15000000,74664632,8030897,1988-04-03 00:00:00,74842866,92,Color,Dolby Stereo; Dolby Atmos,1.85 : 1
Winnie-the-Pooh: Blood and Honey 2,https://www.imdb.com/title/tt23330554/?ref_=chtmvm_t_87,0,0,0,1900-01-01 00:00:00,0,93,Color,Dolby Surround 7.1; Auro 11.1; Dolby Atmos; Dolby Digital; 12-Track Digital Sound,2 : 39 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=chtmvm_t_88,100000000,636238421,162022044,2023-07-23 00:00:00,1445638421,114,Color,Dolby Digital; IMAX 6-Track; 12-Track Digital Sound; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; DTS:X,2.00 : 1
Mad Max,https://www.imdb.com/title/tt0079501/?ref_=chtmvm_t_89,0,0,0,1900-01-01 00:00:00,0,0,,,
Twister,https://www.imdb.com/title/tt0117998/?ref_=chtmvm_t_90,92000000,241830615,41059405,1996-05-12 00:00:00,494580615,113,Color,DTS; Dolby Digital; SDDS,2.39 : 1
The Hunger Games,https://www.imdb.com/title/tt1392170/?ref_=chtmvm_t_91,78000000,408010692,152535747,2012-03-25 00:00:00,695220619,142,Color,Dolby Digital; Datasat; SDDS; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=chtmvm_t_92,0,0,0,1900-01-01 00:00:00,0,0,,,
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chtmvm_t_93,8000000,107928762,9311882,1994-10-16 00:00:00,213928762,154,Color,Dolby Digital; DTS,2.39 : 1
Splice,https://www.imdb.com/title/tt1017460/?ref_=chtmvm_t_94,30000000,17010170,7385277,2010-06-06 00:00:00,27127620,104,Color,SDDS; DTS; Dolby Digital,1.85 : 1
Titanic,https://www.imdb.com/title/tt0120338/?ref_=chtmvm_t_95,200000000,674292608,28638131,1997-12-21 00:00:00,2264750694,0,,,
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=chtmvm_t_96,22000000,36471795,10651884,2020-01-26 00:00:00,115175729,113,Color,Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Fright Night,https://www.imdb.com/title/tt0089175/?ref_=chtmvm_t_97,9000000,24922237,6118543,1985-08-04 00:00:00,24923585,106,Color,Dolby Stereo; Dolby Atmos,2.39 : 1
The Zone of Interest,https://www.imdb.com/title/tt7160372/?ref_=chtmvm_t_98,0,0,0,1900-01-01 00:00:00,0,105,Color,Dolby Digital,1.78 : 1
Everybody Wants Some!!,https://www.imdb.com/title/tt2937696/?ref_=chtmvm_t_99,10000000,3400278,312355,2016-04-03 00:00:00,4644472,117,Color,Dolby Digital; Datasat; Dolby Surround 7.1,1.85 : 1
My Fault,https://www.imdb.com/title/tt21909764/?ref_=chtmvm_t_100,0,0,0,1900-01-01 00:00:00,0,0,,,
